"","DATE","PERIOD","R","PLANETDISCMETH","numPlanets"
"1",2014,7.958203,0.095459,"Transit",769
"2",2016,3.27346074,0.085,"Transit",1288
"3",2016,19.12947337,0.191,"Transit",1288
"4",2010,10.290994,1.23,"Transit",66
"5",2016,27.495606,0.269,"Transit",1288
"6",2016,9.478522,0.138,"Transit",1288
"7",2016,5.03728015,0.11,"Transit",1288
"8",2009,2.243752,1.281,"Transit",18
"9",2011,7.8125124,0.196096,"Transit",122
"11",2016,23.4774101,0.156,"Transit",1288
"12",2016,122.363553,0.145,"Transit",1288
"13",2011,3.6961219,0.170247,"Transit",122
"14",2011,3.039577,1.02,"Transit",122
"15",2014,3.137873,0.113302,"Transit",769
"17",2014,1.611865,0.140066,"Transit",769
"18",2016,11.89520511,0.118,"Transit",1288
"19",2016,20.35972599,0.105,"Transit",1288
"20",2016,0.9283105,0.114,"Transit",1288
"21",2016,19.78297415,0.186,"Transit",1288
"23",2016,4.9195838,0.248,"Transit",1288
"24",2016,153.979578,0.244,"Transit",1288
"25",2016,6.48021673,0.105,"Transit",1288
"26",2016,12.2057513,0.285,"Transit",1288
"27",2011,13.0241,0.255816,"Transit",122
"28",2016,22.0459018,0.334,"Transit",1288
"29",2016,3.53232449,0.142,"Transit",1288
"30",2016,56.0560538,0.188,"Transit",1288
"32",2010,4.322482,1.07,"Transit",66
"33",2014,37.514456,0.232849,"Transit",769
"34",2014,7.267302,0.111418,"Transit",769
"36",2014,11.763051,0.207869,"Transit",769
"37",2016,21.38521506,0.211,"Transit",1288
"38",2016,0.98678706,0.11,"Transit",1288
"39",2016,2.03232507,0.178,"Transit",1288
"40",2016,2.80624233,0.137,"Transit",1288
"41",2016,15.4580567,0.749,"Transit",1288
"42",2014,13.98179,0.174859,"Transit",769
"43",2010,101.11141,0.165939,"Transit",66
"44",2016,13.61159129,0.127,"Transit",1288
"45",2014,11.349393,0.205192,"Transit",769
"46",2014,14.51143,0.130252,"Transit",769
"47",2016,2.24338185,0.151,"Transit",1288
"48",2016,3.18897601,0.088,"Transit",1288
"49",2016,13.71220213,0.208,"Transit",1288
"50",2016,8.07124073,0.152,"Transit",1288
"51",2014,12.412183,0.19181,"Transit",769
"52",2014,23.968127,0.178428,"Transit",769
"53",2011,3.764825,1.22,"Transit",122
"54",2014,13.342996,0.12479,"Transit",769
"55",2016,4.48558383,0.11,"Transit",1288
"57",2014,57.68802,0.38362,"Transit",769
"58",2014,6.04045,0.115086,"Transit",769
"59",2016,13.22713379,0.21,"Transit",1288
"60",2016,6.9424334,0.115,"Transit",1288
"61",2016,4.45743164,0.097,"Transit",1288
